YEAR,ID,AGE,SEX,MARITAL,PREMARSX,BIBLE,SEXFREQ
1989,22,18,1,Never married,,,Weekly
1989,124,18,2,Never married,,,2-3 times per week
1989,409,18,2,Never married,Almost always wrong,Inspired word of God,Not at all
1989,539,18,2,Never married,Not wrong at all,Inspired word of God,Not at all
1989,1139,18,2,Never married,Sometimes wrong,Inspired word of God,Not at all
1990,126,18,1,Never married,Not wrong at all,Fables and legends,2-3 times a month
1990,338,18,2,Never married,Sometimes wrong,Literal word of God,Not at all
1990,469,18,1,Never married,,,
1990,1026,18,2,Never married,,,2-3 times per week
1991,188,18,1,Never married,Not wrong at all,Fables and legends,Once or twice
1991,679,18,2,Married,Sometimes wrong,Inspired word of God,4+ times per week
1991,1120,18,2,Never married,,,Once a month
1993,99,18,1,Never married,,,4+ times per week
1993,683,18,2,Never married,Sometimes wrong,Inspired word of God,2-3 times a month
1993,740,18,2,Never married,,,2-3 times per week
1993,1019,18,2,Never married,Sometimes wrong,Literal word of God,2-3 times a month
1993,1468,18,1,Never married,,,Once a month
1994,252,18,1,Never married,Not wrong at all,Fables and legends,
1994,703,18,1,Never married,,,Once or twice
1994,1214,18,1,Never married,Not wrong at all,Inspired word of God,Once or twice
1994,1765,18,2,Married,Always wrong,Literal word of God,
1994,2199,18,2,Never married,Always wrong,Literal word of God,Once or twice
1994,2480,18,1,Married,Sometimes wrong,Fables and legends,4+ times per week
1994,2579,18,1,Never married,Not wrong at all,Literal word of God,
1994,2592,18,1,Never married,Sometimes wrong,Inspired word of God,2-3 times per week
1994,2637,18,2,Never married,,,2-3 times a month
1996,91,18,2,Never married,Sometimes wrong,Fables and legends,
1996,1033,18,1,Never married,Not wrong at all,Inspired word of God,Weekly
1996,1327,18,2,Never married,,,Once or twice
1996,1704,18,1,Never married,Not wrong at all,Inspired word of God,2-3 times per week
1996,2218,18,2,Never married,Always wrong,Inspired word of God,Not at all
1996,2810,18,2,Never married,,,Not at all
1996,2813,18,2,Never married,Not wrong at all,Inspired word of God,Once or twice
1998,1041,18,2,Never married,,Inspired word of God,Not at all
1998,1048,18,1,Divorced,,Inspired word of God,2-3 times a month
1998,1452,18,2,Never married,Not wrong at all,Inspired word of God,Not at all
1998,1958,18,1,Never married,,,4+ times per week
1998,2180,18,1,Never married,,,Weekly
1998,2448,18,1,Never married,,Literal word of God,4+ times per week
2000,285,18,2,Never married,,Literal word of God,
2000,338,18,1,Never married,,,Not at all
2000,652,18,2,Never married,Not wrong at all,Literal word of God,2-3 times a month
2000,674,18,2,Never married,Not wrong at all,Inspired word of God,Not at all
2000,831,18,2,Never married,Sometimes wrong,Inspired word of God,Once a month
2000,1019,18,2,Never married,,,2-3 times per week
2000,1071,18,1,Never married,,,2-3 times a month
2002,199,18,1,Never married,,,
2002,1886,18,1,Never married,,Literal word of God,
2002,2486,18,1,Never married,,,2-3 times a month
2002,2523,18,1,Never married,,,
2004,96,18,2,Never married,,,
2004,202,18,1,Never married,,,Not at all
2004,273,18,2,Married,,,2-3 times per week
2004,314,18,1,Never married,,,Once or twice
2004,450,18,2,Never married,,,
2004,646,18,1,Never married,,,Once or twice
2004,667,18,2,Never married,Sometimes wrong,Fables and legends,Not at all
2004,1158,18,2,Never married,,Fables and legends,Not at all
2004,1164,18,1,Never married,,Inspired word of God,
2004,1193,18,2,Never married,,,Not at all
2004,1229,18,2,Never married,Not wrong at all,Fables and legends,4+ times per week
2004,1271,18,1,Never married,,,
2004,1342,18,1,Never married,,,Not at all
2004,1444,18,1,Never married,,,2-3 times per week
2004,1460,18,1,Never married,Not wrong at all,Inspired word of God,Not at all
2004,1607,18,2,Never married,Always wrong,Inspired word of God,
2004,1776,18,1,Never married,Sometimes wrong,Literal word of God,4+ times per week
2004,1797,18,1,Never married,Almost always wrong,Inspired word of God,4+ times per week
2004,2003,18,1,Never married,,,
2004,2079,18,2,Never married,,,2-3 times a month
2004,2182,18,2,Never married,,,Weekly
2004,2231,18,1,Never married,,,Once a month
2004,2311,18,2,Never married,,Literal word of God,4+ times per week
2004,2356,18,2,Never married,,,Not at all
2004,2416,18,1,Never married,Always wrong,Inspired word of God,Not at all
2004,2475,18,1,Never married,,,
2004,2599,18,1,Never married,,Inspired word of God,2-3 times a month
2006,18,18,2,Never married,Not wrong at all,Inspired word of God,
